origin_id,origin_name,origin_lat,origin_lon,destination_id,destination_name,destination_lat,destination_lon,trasport_type,switches,total_time,transit_time,walk_time,wait_time,total_distance,transit_distance,walk_distance
100,הרצליה פיתוח,32.174202,34.802932,2,עיריית הרצליה,32.162413,34.844675,אוטובוס,1.00,38.52,27.31,11.08,0.11,11.815,10.984,0.831
100,הרצליה פיתוח,32.174202,34.802932,3,מרינה,32.1629162,34.7958885,אוטובוס,1.00,17.37,3.93,13.5,0,2.53,1.43,1.1
100,הרצליה פיתוח,32.174202,34.802932,4,קניון רננים,32.197303,34.877858,אוטובוס,2.00,55.2,36.07,13.15,5.98,14.26,13.18,1.08
100,הרצליה פיתוח,32.174202,34.802932,5,קניון שבעת הכוכבים,32.1649538,34.8239649,אוטובוס,1.00,28.27,20.03,8.23,0,9.06,8.42,0.64
100,הרצליה פיתוח,32.174202,34.802932,6,ספריה עירונית,32.1667961,34.8465099,אוטובוס,1.00,37.67,29.72,7.93,0.02,12.47,11.83,0.64
100,הרצליה פיתוח,32.174202,34.802932,7,תיאטרון עירוני,32.167002,34.842377,אוטובוס,1.00,32.03,26.72,5.32,0,11.12,10.72,0.41
100,הרצליה פיתוח,32.174202,34.802932,8,היכל אומנויות הבמה,32.1694184,34.827438,אוטובוס,1.00,28.53,16.37,12.05,0.12,5.94,5.01,0.94
100,הרצליה פיתוח,32.174202,34.802932,9,אנסמבל תיאטרון,32.1650213,34.8116559,אוטובוס,1.00,14.82,1.6,13.08,0.13,1.62,0.59,1.03
100,הרצליה פיתוח,32.174202,34.802932,10,איצטדיון עירוני,32.1678503,34.8249879,אוטובוס,1.00,33.77,16.37,17.28,0.12,6.35,5.01,1.35
100,הרצליה פיתוח,32.174202,34.802932,11,סקייטפארק,32.1688676,34.8266268,אוטובוס,1.00,29.17,16.37,12.68,0.12,6,5.01,0.99
100,הרצליה פיתוח,32.174202,34.802932,12,קאנטרי קלאב,32.1664105,34.8259178,אוטובוס,1.00,31.08,20.03,11.05,0,9.26,8.42,0.84
100,הרצליה פיתוח,32.174202,34.802932,13,סינמה סיטי גלילות,32.1464214,34.8047489,אוטובוס,1.00,49.2,5.37,43.72,0.12,5.16,1.63,3.53
100,הרצליה פיתוח,32.174202,34.802932,14,סינמטק הרצליה,32.167394,34.841727,אוטובוס,1.00,32.43,25.57,6.85,0.02,10.95,10.42,0.53
100,הרצליה פיתוח,32.174202,34.802932,15,בית הקברות הישן,32.1688083,34.8308498,אוטובוס,1.00,33.38,17.22,16.75,0,6.6,5.27,1.33
100,הרצליה פיתוח,32.174202,34.802932,16,בית קברות חדש,32.1514152,34.815585,אוטובוס,1.00,53.72,21.92,31.78,0.02,11.61,9.02,2.59
100,הרצליה פיתוח,32.174202,34.802932,17,שירות התעסוקה הרצליה,32.168143,34.8465997,אוטובוס,1.00,39.1,29.72,9.38,0,12.57,11.83,0.73
